;;;;;;;;males;;;;females;;;males;females;offspring;;;;
;;;;;;;;white eyes;;;;red eyes;;;red eyes;white eyes;;;;;
vialNr;fliesScoredBy;vialsScoredBy;population;line;mother;cross;genotype;males_whiteeyes_RG;males_whiteeyes_G;males_whiteeyes_R;males_whiteeyes_N;females_redeyes_R;females_redeyes_NR;females_redeyes_unclear;males_redeyes_unclear;females_whiteeyes_NR;offspring_unclear;unhatched;dead;mediumLooks;notes
114;Nicky;Nicky;RE;6;3;1;GD;13;4;15;8;0;0;27;0;0;0;0;0;fresh;black larvae (10ish)
115;Nicky;Nicky;UM;1;4;4;GD;10;0;6;0;0;0;28;0;0;0;1;0;brown;black larvae (1ish)
116;Nicky;Nicky;AK;5;1;3;CO;0;32;0;28;0;0;80;0;0;0;3;0;brown;black larvae (5ish)
117;Nicky;Nicky;UM;5;4;3;CO;0;20;0;22;0;0;59;0;0;0;0;0;brown;black larvae (30ish)
118;Nicky;Nicky;AK;3;1;2;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
119;Nicky;Nicky;UM;6;4;3;GD;11;1;13;3;0;0;28;0;0;0;1;0;fresh;
120;Nicky;Nicky;RE;3;2;5;GD;15;4;16;6;0;0;41;0;0;0;0;0;fresh;
121;Nicky;Nicky;MA;6;3;2;GD;0;19;0;18;0;0;32;0;0;0;0;0;fresh;
122;Nicky;Nicky;AK;2;4;4;GD;18;3;29;1;0;0;45;0;0;0;3;0;fresh;
123;Nicky;Nicky;UM;3;2;2;CO;0;23;0;23;0;0;33;0;0;0;0;1;fresh;
124;Nicky;Nicky;UM;6;4;1;GD;8;0;8;0;0;0;18;0;0;0;1;1;fresh;
125;Nicky;Nicky;RE;4;5;5;GD;17;2;11;3;0;0;44;0;0;0;2;0;fresh;black larvae (1ish)
126;Nicky;Nicky;AK;4;3;3;GD;16;1;9;2;0;0;17;0;0;0;0;0;fresh;
127;Nicky;Nicky;AK;2;4;1;GD;10;1;6;1;0;0;30;0;0;0;4;0;fresh;
128;Nicky;Nicky;UM;5;6;1;GD;7;2;12;5;0;0;26;0;0;0;0;0;brown;black larvae (20ish)
129;Nicky;Nicky;UM;3;5;5;CO;0;21;0;19;0;0;44;0;0;0;1;0;brown;black larvae (10ish)
130;Nicky;Nicky;MU;4;1;4;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
131;Nicky;Nicky;RE;6;2;1;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
132;Nicky;Nicky;UM;4;3;4;CO;0;10;0;1;0;0;21;5;0;0;0;0;fresh;
133;Nicky;Nicky;KA;3;3;4;CO;0;12;0;13;0;0;21;0;0;0;0;0;fresh;
134;Nicky;Nicky;MU;6;2;5;CO;0;6;0;9;0;0;19;0;0;0;2;0;fresh;
135;Nicky;Nicky;KA;7;4;5;GD;18;2;24;3;0;0;70;0;0;0;2;0;fresh;
136;Nicky;Nicky;KA;7;2;4;CO;0;4;0;9;0;0;7;0;0;0;0;2;fresh;
137;Nicky;Nicky;RE;3;2;5;CO;0;25;0;21;0;0;38;0;0;0;1;1;fresh;
138;Nicky;Nicky;KA;1;2;3;CO;0;11;0;22;0;0;31;0;12;0;0;0;brown;black larvae (5ish)
139;Nicky;Nicky;RE;3;2;4;CO;0;14;0;12;0;0;33;0;0;0;0;3;brown;black larvae (1ish)
140;Nicky;Nicky;MA;4;1;3;CO;0;4;0;10;0;0;18;0;0;0;0;0;fresh;
141;Nicky;Nicky;KA;1;4;5;CO;0;1;0;2;0;0;4;0;0;0;0;2;fresh;
142;Nicky;Nicky;KA;1;2;2;CO;0;23;0;22;0;0;44;0;0;0;1;1;fresh;black larvae (1ish)
143;Nicky;Nicky;KA;4;3;2;CO;0;0;0;15;0;0;25;0;0;0;0;0;fresh;
144;Nicky;Nicky;UM;4;5;3;GD;0;0;30;38;0;0;49;0;0;0;2;1;fresh;
145;Nicky;Nicky;RE;3;2;1;CO;0;20;0;19;0;0;45;0;0;0;2;1;fresh;
146;Nicky;Nicky;MA;1;1;4;GD;16;2;21;6;0;0;54;0;0;0;0;0;brown;black larvae (20ish)
147;Nicky;Nicky;MA;1;3;4;CO;0;6;0;14;0;0;35;0;0;0;0;22;brown;black larvae (5ish)
148;Gabriella;Gabriella;KA;1;2;4;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
149;Gabriella;Gabriella;KA;7;2;2;CO;0;2;0;5;0;0;4;0;0;0;0;0;fresh;
150;Gabriella;Gabriella;UM;3;1;3;CO;0;9;0;3;0;0;12;10;0;0;0;0;fresh;
151;Gabriella;Gabriella;UM;3;2;3;CO;0;7;0;14;0;0;24;0;0;0;0;0;fresh;black larvae (5ish)
152;Nicky;Nicky;RE;3;2;3;CO;0;16;0;12;0;0;40;0;0;0;2;1;fresh;
153;Nicky;Nicky;RE;2;1;4;CO;0;15;0;19;0;0;39;0;0;0;6;0;fresh;
154;Nicky;Nicky;UM;4;2;2;GD;27;1;19;0;0;0;47;0;0;0;2;1;fresh;
155;Nicky;Nicky;UM;1;4;5;GD;11;3;19;3;0;0;45;0;0;0;4;0;brown;black larvae (20ish)
156;Nicky;Nicky;UM;3;1;5;CO;0;12;0;13;0;0;30;0;0;0;0;0;fresh;black larvae (1ish)
157;Nicky;Nicky;MA;4;?;2;CO;0;24;0;25;0;0;56;0;0;0;2;0;fresh;
158;Nicky;Nicky;MA;1;3;1;CO;0;11;0;20;0;0;52;0;0;0;4;0;brown;black larvae (30ish)
159;Nicky;Nicky;KA;7;2;5;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
160;Nicky;Nicky;UM;4;2;3;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
161;Nicky;Nicky;RE;1;5;4;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
162;Nicky;Nicky;MU;4;1;5;CO;0;3;0;7;0;0;10;0;0;0;0;0;fresh;
163;Nicky;Nicky;UM;4;2;4;GD;6;2;12;2;0;0;16;0;0;0;0;0;fresh;
164;Nicky;Nicky;KA;7;1;4;CO;0;28;0;18;0;0;54;0;0;0;3;0;fresh;
165;Nicky;Nicky;MU;3;3;4;GD;18;6;32;4;0;0;46;0;0;0;8;0;fresh;
166;Nicky;Nicky;MA;7;3;2;CO;0;11;0;19;0;0;38;0;0;0;5;0;fresh;
167;Nicky;Nicky;MU;6;2;2;CO;0;7;0;2;0;0;35;16;0;0;0;0;brown;black larvae (30ish)
168;Nicky;Nicky;RE;1;1;2;GD;16;4;31;6;0;0;39;0;0;0;6;0;fresh;
169;Nicky;Nicky;KA;7;1;1;CO;0;27;0;23;0;0;48;0;0;0;2;0;brown;black larvae (10ish)
170;Nicky;Nicky;MU;4;1;2;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
171;Nicky;Nicky;AK;3;2;3;CO;0;17;0;10;0;0;31;0;0;0;1;0;fresh;
172;Nicky;Nicky;UM;4;2;1;GD;21;3;22;6;0;0;51;0;0;0;2;0;fresh;
173;Nicky;Nicky;MA;4;2;3;CO;0;25;0;19;0;0;56;0;0;0;8;0;fresh;
174;Nicky;Nicky;UM;3;1;4;CO;0;15;0;25;0;0;57;0;0;0;2;0;fresh;
175;Nicky;Nicky;RE;4;5;2;GD;16;1;13;2;0;0;36;0;0;0;0;0;brown;black larvae (10ish)
176;Nicky;Nicky;KA;1;2;5;CO;0;15;0;15;0;0;34;0;0;0;0;0;fresh;
177;Nicky;Nicky;KA;3;3;1;CO;0;28;0;34;0;0;65;0;0;0;1;0;brown;black larvae (1ish)
178;Nicky;Nicky;MA;7;3;4;CO;0;18;0;18;0;0;49;0;0;0;0;0;fresh;black larvae (1ish)
179;Nicky;Nicky;KA;7;2;3;CO;0;23;0;28;0;0;38;0;0;0;4;0;fresh;black larvae (20ish)
180;Nicky;Nicky;AK;1;4;5;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
181;Nicky;Nicky;UM;4;3;3;CO;0;7;0;1;0;0;23;10;0;0;0;0;fresh;
182;Nicky;Nicky;RE;1;4;4;CO;0;17;0;18;0;0;49;0;0;0;2;0;fresh;
183;Nicky;Nicky;KA;7;1;5;CO;0;8;0;10;0;0;24;0;0;0;0;0;fresh;
184;Nicky;Nicky;MA;4;1;4;CO;0;25;0;27;0;0;66;0;0;0;1;1;fresh;
185;Nicky;Nicky;RE;3;2;2;CO;0;15;0;11;0;0;30;0;0;0;1;0;fresh;
186;Nicky;Nicky;UM;3;1;1;CO;0;11;0;10;0;0;15;0;0;0;0;0;fresh;
187;Nicky;Nicky;MA;4;1;5;CO;0;23;0;18;0;0;56;0;0;0;1;0;fresh;
188;Nicky;Nicky;KA;1;2;1;CO;0;25;0;16;0;0;39;0;0;0;0;1;fresh;
189;Nicky;Nicky;MA;7;4;3;CO;0;19;0;27;0;0;54;0;0;0;1;0;brown;black larvae (10ish)
190;Nicky;Nicky;RE;1;4;5;CO;0;12;0;6;0;0;34;23;0;0;0;0;fresh;
191;Nicky;Nicky;AK;3;1;5;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
192;Nicky;Nicky;MU;4;2;1;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
193;Nicky;Nicky;KA;7;3;3;CO;0;2;0;0;0;0;5;0;0;0;0;0;fresh;
194;Nicky;Nicky;RE;1;4;3;CO;0;12;0;4;0;0;19;0;0;0;0;1;fresh;
195;Nicky;Nicky;KA;7;3;2;CO;0;2;0;1;0;0;8;0;0;0;0;3;fresh;
196;Nicky;Nicky;UM;1;4;3;CO;0;4;0;7;0;0;6;0;0;0;0;0;fresh;
197;Nicky;Nicky;MU;4;4;3;GD;16;1;11;2;0;0;21;0;0;0;0;0;fresh;
198;Nicky;Nicky;MU;4;2;4;CO;0;17;0;17;0;0;38;0;0;0;0;0;fresh;
199;Nicky;Nicky;AK;3;2;4;CO;0;8;0;6;0;0;12;0;0;0;0;0;fresh;
